D80007_at	ENSG00000148843	PDCD11
D80008_at	ENSG00000101003	GINS1
D80009_at	ENSG00000165733	BMS1
D80010_at	ENSG00000134324	LPIN1
D80012_at	ENSG00000103194	USP10
D82060_at	ENSG00000112473	SLC39A7
D82061_at	ENSG00000204228	HSD17B8
D82343_at	ENSG00000130558	OLFM1
D82344_at	ENSG00000109132	PHOX2B
D82345_at	ENSG00000158164	TMSB15A
D82346_at	ENSG00000075043	KCNQ2
D82347_at	ENSG00000162992	NEUROD1
D82348_at	ENSG00000138363	ATIC
D83017_s_at	ENSG00000165973	NELL1
D83032_at	ENSG00000075292	ZNF638
D83260_s_at	ENSG00000071859	FAM50A
D83407_at	ENSG00000172348	RCAN2
D83597_at	ENSG00000134061	CD180
D83657_at	ENSG00000163221	S100A12
D83699_at	ENSG00000135116	HRK
D83702_at	ENSG00000008405	CRY1
D83703_at	ENSG00000124587	PEX6
D83735_at	ENSG00000064666	CNN2
D83767_at	ENSG00000104691	UBXN8
D83776_at	ENSG00000134744	ZCCHC11
D83777_at	ENSG00000136193	SCRN1
D83780_at	ENSG00000164961	KIAA0196
D83782_at	ENSG00000114650	SCAP
D83783_at	ENSG00000184634	MED12
D83784_at	ENSG00000126003	PLAGL2
D83785_at	ENSG00000161021	MAML1
D83920_at	ENSG00000085265	FCN1
D84145_at	ENSG00000104671	DCTN6
D84239_at	ENSG00000275395	FCGBP
D84276_at	ENSG00000004468	CD38
D84294_at	ENSG00000182670	TTC3
D84361_at	ENSG00000148082	SHC3
D84424_at	ENSG00000105509	HAS1
D84454_at	ENSG00000102100	SLC35A2
D85131_s_at	ENSG00000103495	MAZ
D85181_at	ENSG00000109929	SC5D
D85418_at	ENSG00000135845	PIGC
D85423_at	ENSG00000096401	CDC5L
D85425_s_at	ENSG00000066136	NFYC
D85429_at	ENSG00000132002	DNAJB1
D85433_at	ENSG00000173163	COMMD1
D85758_at	ENSG00000100632	ERH
D85759_s_at	ENSG00000157540	DYRK1A
D85815_at	ENSG00000173156	RHOD
D86043_s_at	ENSG00000198053	SIRPA
D86043_s_at	ENSG00000225774	SIRPAP1
D86062_s_at	ENSG00000160221	C21orf33
D86062_s_at	ENSG00000276612	CH507-9B2.4
D86062_s_at	ENSG00000280071	CH507-9B2.3
D86096_cds1_s_at	ENSG00000050628	PTGER3
D86096_cds3_at	ENSG00000050628	PTGER3
D86096_cds6_at	ENSG00000050628	PTGER3
D86331_s_at	ENSG00000102996	MMP15
D86425_at	ENSG00000087303	NID2
D86479_at	ENSG00000106624	AEBP1
D86549_at	ENSG00000153774	CFDP1
D86550_at	ENSG00000157540	DYRK1A
D86640_at	ENSG00000144681	STAC
D86956_at	ENSG00000120694	HSPH1
D86958_at	ENSG00000023287	RB1CC1
D86959_at	ENSG00000065613	SLK
D86960_at	ENSG00000123684	LPGAT1
D86961_at	ENSG00000145685	LHFPL2
D86964_at	ENSG00000134516	DOCK2
D86967_at	ENSG00000134109	EDEM1
D86968_at	ENSG00000085511	MAP3K4
D86969_at	ENSG00000102221	JADE3
D86970_at	ENSG00000196535	MYO18A
D86970_at	ENSG00000221995	TIAF1
D86971_at	ENSG00000107929	LARP4B
D86973_at	ENSG00000089154	GCN1
D86975_at	ENSG00000101493	ZNF516
D86976_at	ENSG00000180448	ARHGAP45
D86978_at	ENSG00000155561	NUP205
D86980_at	ENSG00000133985	TTC9
D86981_at	ENSG00000062725	APPBP2
D86983_at	ENSG00000130508	PXDN
D86985_at	ENSG00000170871	KIAA0232
D87002_cds2_at	ENSG00000128262	POM121L9P
D87002_cds2_at	ENSG00000183169	POM121L1P
D87009_cds3_at	ENSG00000275004	ZNF280B
D87071_at	ENSG00000103335	PIEZO1
D87074_at	ENSG00000117016	RIMS3
D87075_at	ENSG00000089057	SLC23A2
D87076_at	ENSG00000043143	JADE2
D87077_at	ENSG00000112624	GLTSCR1L
D87078_at	ENSG00000055917	PUM2
D87116_at	ENSG00000034152	MAP2K3
D87119_at	ENSG00000071575	TRIB2
D87120_at	ENSG00000196937	FAM3C
D87127_at	ENSG00000008952	SEC62
D87292_at	ENSG00000128311	TST
D87328_at	ENSG00000159267	HLCS
D87433_at	ENSG00000010327	STAB1
D87434_at	ENSG00000100647	SUSD6
D87436_at	ENSG00000101577	LPIN2
D87438_at	ENSG00000179889	PDXDC1
D87443_at	ENSG00000120451	SNX19
D87444_at	ENSG00000101337	TM9SF4
D87446_at	ENSG00000075568	TMEM131
